INTERNAL | System Time: 1741169204.2267 | Logical Clock: 280 | 
SEND to VM 1 | System Time: 1741169204.4283 | Logical Clock: 281 | Message Clock Sent: 280
RECEIVE | System Time: 1741169204.6341 | Logical Clock: 282 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741169204.8354 | Logical Clock: 283 | 
INTERNAL | System Time: 1741169205.0365 | Logical Clock: 284 | 
INTERNAL | System Time: 1741169205.2400 | Logical Clock: 285 | 
INTERNAL | System Time: 1741169205.4486 | Logical Clock: 286 | 
INTERNAL | System Time: 1741169205.6500 | Logical Clock: 287 | 
SEND to VM 0 | System Time: 1741169205.8518 | Logical Clock: 288 | Message Clock Sent: 287
INTERNAL | System Time: 1741169206.0548 | Logical Clock: 289 | 
INTERNAL | System Time: 1741169206.2609 | Logical Clock: 290 | 
INTERNAL | System Time: 1741169206.4647 | Logical Clock: 291 | 
RECEIVE | System Time: 1741169206.6675 | Logical Clock: 292 | From VM 0, Queue Length: 0
SEND to VM 0 | System Time: 1741169206.8694 | Logical Clock: 293 | Message Clock Sent: 292
