RECEIVE | System Time: 1741195260.4089 | Logical Clock: 164 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741195260.5787 | Logical Clock: 165 | Message Clock Sent: 164
SEND to VMs 1, 2 | System Time: 1741195260.7483 | Logical Clock: 166 | Message Clock Sent: 165
SEND to VMs 1, 2 | System Time: 1741195260.9204 | Logical Clock: 167 | Message Clock Sent: 166
SEND to VMs 1, 2 | System Time: 1741195261.0934 | Logical Clock: 168 | Message Clock Sent: 167
SEND to VMs 1, 2 | System Time: 1741195261.2630 | Logical Clock: 169 | Message Clock Sent: 168
INTERNAL | System Time: 1741195261.4346 | Logical Clock: 170 | 
SEND to VM 1 | System Time: 1741195261.6066 | Logical Clock: 171 | Message Clock Sent: 170
SEND to VMs 1, 2 | System Time: 1741195261.7776 | Logical Clock: 172 | Message Clock Sent: 171
SEND to VM 1 | System Time: 1741195261.9507 | Logical Clock: 173 | Message Clock Sent: 172
SEND to VMs 1, 2 | System Time: 1741195262.1237 | Logical Clock: 174 | Message Clock Sent: 173
SEND to VM 1 | System Time: 1741195262.2959 | Logical Clock: 175 | Message Clock Sent: 174
SEND to VM 1 | System Time: 1741195262.4694 | Logical Clock: 176 | Message Clock Sent: 175
SEND to VM 1 | System Time: 1741195262.6423 | Logical Clock: 177 | Message Clock Sent: 176
SEND to VMs 1, 2 | System Time: 1741195262.8163 | Logical Clock: 178 | Message Clock Sent: 177
SEND to VMs 1, 2 | System Time: 1741195262.9881 | Logical Clock: 179 | Message Clock Sent: 178
SEND to VM 2 | System Time: 1741195263.1589 | Logical Clock: 180 | Message Clock Sent: 179
SEND to VMs 1, 2 | System Time: 1741195263.3309 | Logical Clock: 181 | Message Clock Sent: 180
SEND to VM 2 | System Time: 1741195263.5018 | Logical Clock: 182 | Message Clock Sent: 181
SEND to VM 2 | System Time: 1741195263.6748 | Logical Clock: 183 | Message Clock Sent: 182
SEND to VM 2 | System Time: 1741195263.8448 | Logical Clock: 184 | Message Clock Sent: 183
SEND to VM 2 | System Time: 1741195264.0140 | Logical Clock: 185 | Message Clock Sent: 184
SEND to VM 2 | System Time: 1741195264.1830 | Logical Clock: 186 | Message Clock Sent: 185
SEND to VMs 1, 2 | System Time: 1741195264.3538 | Logical Clock: 187 | Message Clock Sent: 186
SEND to VM 2 | System Time: 1741195264.5283 | Logical Clock: 188 | Message Clock Sent: 187
INTERNAL | System Time: 1741195264.7012 | Logical Clock: 189 | 
